"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z","Rgd_Avail","NDVI","Alt","Forest"
"AI26",0.155736431,-0.70628781,0.185335309,-0.458740469,52.5414009,0.0907484,2144.25,0
"AI27",0.223391736,-0.549609081,-0.672541379,-0.458740469,53.3959999,0.0995087,1735.160034,0
"AI28",2.756304508,-0.0322418,1.084964071,-0.355088157,85.3908997,0.128436,2573.25,1224
"AI29",1.744307632,0.054465102,1.109038012,-0.409962911,72.6076965,0.133284,2584.729981,576
"AI31",0.107239078,-0.59820644,-0.736144667,-0.458740469,51.9287987,0.0967915,1704.829956,0
"AI34",-1.391225315,-0.369286267,-0.877778355,-0.458740469,33.0007019,0.109591,1637.290039,0
"AI35",-0.712613259,0.266045683,0.060079346,-0.458740469,41.5727005,0.145114,2084.52002,0
"AI36",0.016886745,0.857237238,0.915942705,-0.456369338,50.7874985,0.178169,2492.649902,28
"AI37",0.884326222,0.129886515,0.11976093,-0.192835028,61.7447014,0.137501,2112.979981,3140
"AI38",0.132793885,-0.036909808,-0.880106035,-0.458740469,52.2515984,0.128175,1636.180054,0
"AI40",-0.621730624,0.365522538,-0.07943657,-0.458740469,42.7206993,0.150676,2017.98999,0
"AI41",-0.84947582,0.264865267,0.173151403,-0.458740469,39.8438988,0.145048,2138.439941,0
"AI42",-0.812806095,0.29918675,0.64632706,-0.458740469,40.3070984,0.146967,2364.080078,0
"AI43",-0.615191524,0.571487201,0.915460427,-0.458740469,42.803299,0.162192,2492.419922,0
"AI44",0.413810065,0.697827457,0.758602489,-0.458740469,55.8013,0.169256,2417.620117,0
"AI45",-0.448902885,0.979231418,1.320712778,-0.458740469,44.903801,0.18499,2685.669922,0
"AI46",-0.310243459,0.877501042,1.486106311,-0.458740469,46.6553001,0.179302,2764.540039,0
"AI47",-0.411607732,0.88209751,1.323837342,-0.458740469,45.3749008,0.179559,2687.159912,0
"AI48",-0.867739267,1.042902328,1.09804956,-0.458740469,39.6132011,0.18855,2579.48999,0
"AI49",-1.145335358,1.378337137,0.71359965,-0.458740469,36.1067009,0.207305,2396.159912,0
"AI50",-0.556165122,1.264516443,0.555672203,-0.458740469,43.5489006,0.200941,2320.850098,0
"AI51",-0.027794602,1.394415831,0.635841876,-0.417076305,50.2230988,0.208204,2359.080078,492
"AI52",-0.000775126,1.406792311,0.649283697,-0.371686076,50.5643997,0.208896,2365.48999,1028
"AI53",1.175412122,0.558288007,1.70849716,-0.420124902,65.4216003,0.161454,2870.590088,456
"AI54",1.735734002,-0.04553042,1.888674393,-0.209009531,72.4993973,0.127693,2956.51001,2949
"AI55",1.282349714,-0.176270407,1.781809482,-0.041929456,66.7723999,0.120383,2905.550049,4922
"AI56",0.296873733,2.598368356,0.639889014,1.826776078,54.3241997,0.27552,2361.01001,26989
"AI57",0.191187005,2.89366903,0.598661456,1.407847983,52.9892006,0.292031,2341.350098,22042
"AI58",-0.115898585,3.702343245,0.223102962,3.425003275,49.110199,0.337246,2162.26001,45862
"AJ18",0.072643451,-0.984146947,-1.16551294,-0.451627075,51.4917984,0.0752126,1500.079956,84
"AJ19",1.269786127,-0.84397973,-0.892163996,-0.458740469,66.6137009,0.0830497,1630.430054,0
"AJ20",1.945287032,-0.958344132,-1.093395816,-0.409200761,75.1464005,0.0766553,1534.469971,585
"AJ21",2.316195915,0.151777861,0.780977707,-0.194020593,79.8315964,0.138725,2428.290039,3126
"AJ22",1.298681594,-0.215456633,0.76273359,-0.404204449,66.9786987,0.118192,2419.590088,644
"AJ23",1.062244083,-0.118358495,0.816103072,-0.458740469,63.9920998,0.123621,2445.040039,0
"AJ24",0.786104806,0.348263429,1.211813803,-0.458740469,60.5040016,0.149711,2633.73999,0
"AJ25",0.634651965,0.194702071,1.946321912,-0.458740469,58.5909004,0.141125,2984,0
"AJ26",0.008954543,0.357349053,1.603749765,-0.458740469,50.6873016,0.150219,2820.639893,0
"AJ27",-0.096297009,-0.481497304,0.07113077,-0.458740469,49.3577995,0.103317,2089.790039,0
"AJ28",0.765505736,-0.0024989,0.749815516,-0.458740469,60.2438011,0.130099,2413.429932,0
"AJ29",0.926671938,-0.187609552,1.691804317,-0.458740469,62.2795982,0.119749,2862.629883,0
"AJ30",-0.712565847,-0.841813846,-0.3521563,-0.458740469,41.5732994,0.0831708,1887.939941,0
"AJ36",0.506846233,-0.256127321,0.06865641,-0.454167573,56.9765015,0.115918,2088.610107,54
